Order Date,Region,Product,Category,Sales,Quantity,Profit
2023-01-01,West,Tablet,Electronics,20795,1,2842
2023-01-02,East,Laptop,Electronics,16284,3,3080
2023-01-03,West,Tablet,Electronics,26962,4,4495
2023-01-05,West,Headphones,Accessories,46090,2,5129
2023-01-06,North,Headphones,Accessories,7433,4,2218
2023-01-08,North,Headphones,Accessories,24769,2,2511
2023-01-09,West,Laptop,Electronics,46434,3,8356
2023-01-11,South,Headphones,Accessories,7747,4,1135
2023-01-12,West,Tablet,Electronics,40773,3,7196
2023-01-14,North,Headphones,Accessories,16394,1,3631
2023-01-15,West,Laptop,Electronics,19502,2,5651
2023-01-17,North,Phone,Electronics,13433,2,2161
2023-01-18,West,Phone,Electronics,28483,3,6323
2023-01-20,South,Tablet,Electronics,45994,2,8196
2023-01-21,South,Headphones,Accessories,28939,2,5354
2023-01-22,South,Phone,Electronics,45757,1,13448
2023-01-24,South,Headphones,Accessories,5161,2,1439
2023-01-25,West,Tablet,Electronics,16534,4,3539
2023-01-27,North,Laptop,Electronics,29253,4,7866
2023-01-28,North,Phone,Electronics,22262,1,4838
2023-01-30,North,Headphones,Accessories,44099,4,6844
2023-01-31,West,Tablet,Electronics,45774,1,11647
2023-02-02,East,Headphones,Accessories,10258,3,2475
2023-02-03,South,Tablet,Electronics,17666,1,5039
2023-02-05,South,Laptop,Electronics,27662,1,6214
2023-02-06,West,Laptop,Electronics,28599,3,4638
2023-02-08,East,Laptop,Electronics,35818,4,8149
2023-02-09,South,Tablet,Electronics,10056,3,1246
2023-02-10,South,Tablet,Electronics,22412,2,3298
2023-02-12,West,Tablet,Electronics,5206,3,636
2023-02-13,South,Laptop,Electronics,46523,1,9384
2023-02-15,East,Laptop,Electronics,45342,3,8255
2023-02-16,East,Laptop,Electronics,38827,1,4480
2023-02-18,South,Tablet,Electronics,27299,2,6138
2023-02-19,West,Laptop,Electronics,49020,2,9377
2023-02-21,West,Headphones,Accessories,30939,2,8559
2023-02-22,South,Phone,Electronics,15230,4,2608
2023-02-24,North,Laptop,Electronics,35080,1,8052
2023-02-25,East,Headphones,Accessories,14474,3,1924
2023-02-27,West,Laptop,Electronics,8748,1,1084
2023-02-28,West,Headphones,Accessories,39766,3,6547
2023-03-01,North,Headphones,Accessories,8304,4,1434
2023-03-03,East,Phone,Electronics,22675,2,5425
2023-03-04,East,Laptop,Electronics,6636,1,1987
2023-03-06,East,Laptop,Electronics,33673,2,6135
2023-03-07,South,Laptop,Electronics,43623,1,9896
2023-03-09,South,Phone,Electronics,26556,4,5033
2023-03-10,East,Headphones,Accessories,9931,3,2505
2023-03-12,West,Laptop,Electronics,30342,2,5266
2023-03-13,West,Phone,Electronics,5197,2,1076
2023-03-15,South,Headphones,Accessories,30184,1,4954
2023-03-16,East,Headphones,Accessories,20708,3,4518
2023-03-18,East,Headphones,Accessories,11546,2,2337
2023-03-19,North,Headphones,Accessories,7911,3,1066
2023-03-20,North,Headphones,Accessories,10759,3,3091
2023-03-22,East,Tablet,Electronics,13155,1,1614
2023-03-23,West,Tablet,Electronics,25445,2,3857
2023-03-25,West,Headphones,Accessories,36065,4,7611
2023-03-26,West,Laptop,Electronics,7049,1,836
2023-03-28,North,Laptop,Electronics,34855,3,4800
2023-03-29,West,Tablet,Electronics,47642,4,12831
2023-03-31,West,Headphones,Accessories,17183,4,2007
2023-04-01,East,Headphones,Accessories,47405,4,10490
2023-04-03,North,Headphones,Accessories,7557,1,1758
2023-04-04,East,Phone,Electronics,26357,2,5195
2023-04-06,South,Headphones,Accessories,33643,1,3485
2023-04-07,West,Laptop,Electronics,26295,4,4556
2023-04-08,West,Tablet,Electronics,38986,1,6300
2023-04-10,South,Headphones,Accessories,46914,3,10661
2023-04-11,South,Phone,Electronics,19373,2,3460
2023-04-13,South,Headphones,Accessories,24738,3,6406
2023-04-14,West,Laptop,Electronics,44790,4,12220
2023-04-16,West,Laptop,Electronics,14007,3,3003
2023-04-17,South,Laptop,Electronics,45447,1,13584
2023-04-19,West,Laptop,Electronics,22453,1,6212
2023-04-20,South,Laptop,Electronics,38828,4,6451
2023-04-22,North,Laptop,Electronics,5699,1,655
2023-04-23,East,Laptop,Electronics,40743,3,6261
2023-04-25,South,Headphones,Accessories,31641,1,5661
2023-04-26,South,Phone,Electronics,43210,4,4929
2023-04-27,East,Headphones,Accessories,9014,2,1547
2023-04-29,West,Tablet,Electronics,15729,2,2587
2023-04-30,East,Laptop,Electronics,45328,3,10959
2023-05-02,South,Laptop,Electronics,10801,3,1986
2023-05-03,East,Laptop,Electronics,15647,1,1820
2023-05-05,West,Laptop,Electronics,9780,4,2249
